scenario,n,cpu,strategy,samples,dom_ops,floor_ops,added,removed,attrs,text,script_p50,script_p95,layout_p50,total_p50,total_p95,e2e_p50,render_p50,commit_p50,tail_p50
text-one,1000,1,"vanilla JS · rebuild",60,2000,1,1000,1000,0,0,6.6000,23.1350,19.7000,26.6500,89.1100,35.2000,,,
text-one,1000,1,"vanilla JS · keyed diff",60,1,1,0,0,0,1,0.7000,3.7050,0.6000,1.3000,5.0050,9.1000,,,
text-one,1000,1,"vanilla JS · targeted",60,1,1,0,0,0,1,0.0000,2.6150,0.5000,0.6000,3.4100,8.1000,,,
text-one,1000,1,"react · key={row.id}",60,1,1,0,0,0,1,1.8000,6.5150,0.6000,2.4000,8.4000,13.8000,1.2000,0.7000,0.0000
text-one,1000,1,"react · key={index}",60,1,1,0,0,0,1,1.7500,5.3450,0.6000,2.3000,6.4750,13.7500,1.1000,0.7000,0.0000
text-all,1000,1,"vanilla JS · rebuild",60,2000,1000,1000,1000,0,0,6.3000,12.4300,21.9000,28.4000,62.1550,39.9000,,,
text-all,1000,1,"vanilla JS · keyed diff",60,1000,1000,0,0,0,1000,1.5500,5.6750,11.5000,13.0000,41.9050,24.0000,,,
text-all,1000,1,"vanilla JS · targeted",60,1000,1000,0,0,0,1000,1.0000,5.1200,11.4000,12.4000,31.7250,23.6500,,,
text-all,1000,1,"react · key={row.id}",60,1000,1000,0,0,0,1000,2.8000,6.8100,11.2000,14.0000,32.6550,21.0000,1.2000,1.6000,0.0000
text-all,1000,1,"react · key={index}",60,1000,1000,0,0,0,1000,2.9000,7.2800,11.4500,14.4000,34.9200,23.1000,1.2500,1.6000,0.0000
attribute-one,1000,1,"vanilla JS · rebuild",60,2000,1,1000,1000,0,0,6.2000,22.4350,19.4500,25.8000,75.6100,36.6500,,,
attribute-one,1000,1,"vanilla JS · keyed diff",60,1,1,0,0,1,0,0.7000,3.7000,0.0000,0.7000,3.7050,8.5500,,,
attribute-one,1000,1,"vanilla JS · targeted",60,1,1,0,0,1,0,0.0000,3.6050,0.0000,0.0000,3.7050,7.9500,,,
attribute-one,1000,1,"react · key={row.id}",60,1,1,0,0,1,0,1.8000,2.7000,0.0000,1.8000,2.7050,14.6000,1.2000,0.7000,0.0000
attribute-one,1000,1,"react · key={index}",60,1,1,0,0,1,0,2.1000,6.2150,0.0000,2.1000,6.2150,13.9000,1.3000,0.7000,0.0000
attribute-all,1000,1,"vanilla JS · rebuild",60,2000,1000,1000,1000,0,0,6.4000,17.7850,19.4000,25.9000,85.0000,36.8000,,,
attribute-all,1000,1,"vanilla JS · keyed diff",60,1000,1000,0,0,1000,0,1.0000,3.9150,0.0000,1.0000,3.9200,8.9000,,,
attribute-all,1000,1,"vanilla JS · targeted",60,1000,1000,0,0,1000,0,0.5000,1.7100,0.0000,0.5000,1.8050,8.5000,,,
attribute-all,1000,1,"react · key={row.id}",60,1000,1000,0,0,1000,0,2.4000,5.1050,0.0000,2.4000,5.2000,13.3000,1.3000,1.1000,0.0000
attribute-all,1000,1,"react · key={index}",60,1000,1000,0,0,1000,0,2.6000,4.9200,0.0000,2.6000,5.0150,13.0000,1.5000,1.1000,0.0000
className-one,1000,1,"vanilla JS · rebuild",60,2000,1,1000,1000,0,0,6.2000,20.2250,19.3500,26.0000,74.9800,35.9500,,,
className-one,1000,1,"vanilla JS · keyed diff",60,1,1,0,0,1,0,0.7000,3.6450,0.1000,0.8000,3.7400,9.9000,,,
className-one,1000,1,"vanilla JS · targeted",60,1,1,0,0,1,0,0.0000,2.9050,0.1000,0.1000,2.9100,7.7000,,,
className-one,1000,1,"react · key={row.id}",60,1,1,0,0,1,0,1.9000,6.6000,0.0000,1.9000,6.7000,14.2500,1.2000,0.7000,0.0000
className-one,1000,1,"react · key={index}",60,1,1,0,0,1,0,1.9000,5.9400,0.0000,1.9000,6.1350,14.2500,1.2000,0.7000,0.0000
className-all,1000,1,"vanilla JS · rebuild",60,2000,1000,1000,1000,0,0,6.2000,11.0150,19.0500,25.3000,58.8000,35.0500,,,
className-all,1000,1,"vanilla JS · keyed diff",60,1000,1000,0,0,1000,0,2.1000,6.0100,3.1000,5.2000,17.2400,13.3000,,,
className-all,1000,1,"vanilla JS · targeted",60,1000,1000,0,0,1000,0,1.6000,6.0000,3.1000,4.6500,15.1000,13.5500,,,
className-all,1000,1,"react · key={row.id}",60,1000,1000,0,0,1000,0,2.5000,9.5100,3.0000,5.5500,21.2050,10.6000,1.2000,1.3500,0.0000
className-all,1000,1,"react · key={index}",60,1000,1000,0,0,1000,0,2.4000,4.1050,3.0000,5.4000,7.4300,10.7000,1.1000,1.4000,0.0000
style-one,1000,1,"vanilla JS · rebuild",60,2000,1,1000,1000,0,0,6.4000,21.6600,19.4500,26.5500,83.8750,36.2500,,,
style-one,1000,1,"vanilla JS · keyed diff",60,1,1,0,0,1,0,0.7000,3.6200,0.1000,0.8000,3.8150,8.9000,,,
style-one,1000,1,"vanilla JS · targeted",60,1,1,0,0,1,0,0.0000,3.4100,0.1000,0.1000,3.7100,9.9000,,,
style-one,1000,1,"react · key={row.id}",60,1,1,0,0,1,0,1.9000,6.3100,0.0000,1.9000,6.4100,14.1000,1.2000,0.7000,0.0000
style-one,1000,1,"react · key={index}",60,1,1,0,0,1,0,1.8000,4.7450,0.0000,1.9000,4.8400,14.4000,1.1000,0.7000,0.0000
style-all,1000,1,"vanilla JS · rebuild",60,2000,1000,1000,1000,0,0,6.2000,23.6100,19.1000,25.3000,94.2450,36.8500,,,
style-all,1000,1,"vanilla JS · keyed diff",60,1000,1000,0,0,1000,0,1.6000,6.3450,2.7000,4.3000,16.8000,13.4500,,,
style-all,1000,1,"vanilla JS · targeted",60,1000,1000,0,0,1000,0,1.1000,4.1100,2.7000,3.7000,9.2650,11.5500,,,
style-all,1000,1,"react · key={row.id}",60,1000,1000,0,0,1000,0,2.5000,3.6600,2.6000,5.2000,6.6700,9.7500,1.2000,1.4000,0.0000
style-all,1000,1,"react · key={index}",60,1000,1000,0,0,1000,0,2.5000,9.7100,2.7000,5.1500,19.5100,11.5000,1.1000,1.4000,0.0000
badgeAdd-one,1000,1,"vanilla JS · rebuild",60,2000,1,1000,1000,0,0,6.2000,21.5000,19.4000,25.9500,92.2250,36.4000,,,
badgeAdd-one,1000,1,"vanilla JS · keyed diff",60,1,1,1,0,0,0,0.7000,4.5250,0.6000,1.3000,5.4650,11.6000,,,
badgeAdd-one,1000,1,"vanilla JS · targeted",60,1,1,1,0,0,0,0.0000,0.5400,0.6000,0.6000,2.2900,8.8000,,,
badgeAdd-one,1000,1,"react · key={row.id}",60,1,1,1,0,0,0,1.8000,6.4050,0.6000,2.3000,8.6000,14.2500,1.2000,0.6000,0.0000
badgeAdd-one,1000,1,"react · key={index}",60,1,1,1,0,0,0,1.8000,6.4050,0.6000,2.4000,8.4100,13.7500,1.2000,0.6000,0.0000
badgeAdd-all,1000,1,"vanilla JS · rebuild",60,2000,1000,1000,1000,0,0,6.7000,20.6850,26.6000,33.4000,79.6600,48.0500,,,
badgeAdd-all,1000,1,"vanilla JS · keyed diff",60,1000,1000,1000,0,0,0,2.1000,8.0800,11.8000,13.8000,32.2550,28.7500,,,
badgeAdd-all,1000,1,"vanilla JS · targeted",60,1000,1000,1000,0,0,0,1.6000,4.9150,11.6000,13.2500,18.2200,27.9500,,,
badgeAdd-all,1000,1,"react · key={row.id}",60,1000,1000,1000,0,0,0,3.9000,15.3000,11.6000,15.6000,59.0150,21.5500,2.6000,1.3000,0.0000
badgeAdd-all,1000,1,"react · key={index}",60,1000,1000,1000,0,0,0,3.9000,14.9200,11.6000,15.6000,39.9100,21.8000,2.6000,1.3000,0.0000
badgeRemove-one,1000,1,"vanilla JS · rebuild",60,2000,1,1000,1000,0,0,7.7500,26.9300,26.7000,34.6000,98.6000,50.6500,,,
badgeRemove-one,1000,1,"vanilla JS · keyed diff",60,1,1,0,1,0,0,0.7000,4.1050,0.6000,1.3000,5.1200,13.6000,,,
badgeRemove-one,1000,1,"vanilla JS · targeted",60,1,1,0,1,0,0,0.0000,3.5050,0.6000,0.6000,4.4050,12.7500,,,
badgeRemove-one,1000,1,"react · key={row.id}",60,1,1,0,1,0,0,2.1000,2.6050,0.6000,2.7000,3.4050,13.7000,1.3000,0.8000,0.0000
badgeRemove-one,1000,1,"react · key={index}",60,1,1,0,1,0,0,2.1000,2.5000,0.6000,2.7000,3.7450,13.7500,1.3000,0.8000,0.0000
badgeRemove-all,1000,1,"vanilla JS · rebuild",60,2000,1000,1000,1000,0,0,7.2000,13.8350,18.7500,26.0000,60.3000,37.1500,,,
badgeRemove-all,1000,1,"vanilla JS · keyed diff",60,1000,1000,0,1000,0,0,2.6000,8.2550,3.9000,6.5000,22.4250,18.0500,,,
badgeRemove-all,1000,1,"vanilla JS · targeted",60,1000,1000,0,1000,0,0,2.1000,5.9600,3.9000,6.0000,10.8250,17.4000,,,
badgeRemove-all,1000,1,"react · key={row.id}",60,1000,1000,0,1000,0,0,4.6000,5.2150,4.0000,8.6000,9.3300,11.8500,1.3000,2.9000,0.4000
badgeRemove-all,1000,1,"react · key={index}",60,1000,1000,0,1000,0,0,4.7000,7.8750,4.1000,8.7000,12.5550,12.1000,1.3000,2.9000,0.4000
type-one,1000,1,"vanilla JS · rebuild",60,2000,2,1000,1000,0,0,6.1000,8.8200,18.8000,25.1500,29.0500,34.4000,,,
type-one,1000,1,"vanilla JS · keyed diff",60,2,2,1,1,0,0,0.8000,3.8000,0.6000,1.3000,4.8000,8.7000,,,
type-one,1000,1,"vanilla JS · targeted",60,2,2,1,1,0,0,0.1000,0.2000,0.6000,0.7000,2.0000,8.2000,,,
type-one,1000,1,"react · key={row.id}",60,2,2,1,1,0,0,1.8000,3.5050,0.6000,2.4000,4.6100,13.7500,1.2000,0.6000,0.0000
type-one,1000,1,"react · key={index}",60,2,2,1,1,0,0,1.8000,6.3100,0.6000,2.4000,8.3000,14.0000,1.1000,0.6000,0.0000
type-all,1000,1,"vanilla JS · rebuild",60,2000,2000,1000,1000,0,0,6.4500,17.2650,19.1000,25.4500,77.4250,35.2000,,,
type-all,1000,1,"vanilla JS · keyed diff",60,2000,2000,1000,1000,0,0,5.0000,18.7150,11.1000,16.2500,56.0850,27.2500,,,
type-all,1000,1,"vanilla JS · targeted",60,2000,2000,1000,1000,0,0,4.5000,15.5400,11.2000,15.9000,38.5850,27.0000,,,
type-all,1000,1,"react · key={row.id}",60,2000,2000,1000,1000,0,0,7.1000,15.6950,11.0500,18.4000,29.5300,24.7500,3.8000,2.9000,0.4000
type-all,1000,1,"react · key={index}",60,2000,2000,1000,1000,0,0,7.1000,18.8050,11.1000,18.2500,43.2100,25.0000,3.8000,2.9000,0.4000
