scenario,n,cpu,strategy,samples,dom_ops,floor_ops,added,removed,attrs,text,script_p50,script_p95,layout_p50,total_p50,total_p95,e2e_p50,render_p50,commit_p50,tail_p50
create,1000,1,"vanilla JS · rebuild",100,1000,1000,1000,0,0,0,3.8000,7.0050,18.9000,22.8500,44.0150,30.9500,,,
create,1000,1,"vanilla JS · keyed diff",100,1000,1000,1000,0,0,0,5.5000,9.0200,18.7500,24.4000,32.3800,32.5500,,,
create,1000,1,"vanilla JS · targeted",100,1000,1000,1000,0,0,0,5.4000,8.8550,18.6500,24.1500,30.4300,32.5000,,,
create,1000,1,"react · key={row.id}",100,1000,1000,1000,0,0,0,10.8000,12.8800,18.6000,29.6000,40.1500,38.5000,7.2000,3.5000,0.0000
create,1000,1,"react · key={index}",100,1000,1000,1000,0,0,0,11.1500,28.8600,18.7000,30.0500,68.7100,38.5000,7.7000,3.5000,0.0000
noop,1000,1,"vanilla JS · rebuild",100,2000,0,1000,1000,0,0,6.1000,21.3500,18.8500,25.0500,72.9100,35.2000,,,
noop,1000,1,"vanilla JS · keyed diff",100,0,0,0,0,0,0,0.7000,3.2000,0.0000,0.7000,3.2050,8.0000,,,
noop,1000,1,"vanilla JS · targeted",100,0,0,0,0,0,0,0.0000,3.1000,0.0000,0.0000,3.2000,7.6000,,,
noop,1000,1,"react · key={row.id}",100,0,0,0,0,0,0,2.2000,3.1100,0.0000,2.2000,3.2050,13.7000,1.4500,0.7000,0.0000
noop,1000,1,"react · key={index}",100,0,0,0,0,0,0,2.3000,6.8000,0.0000,2.3000,6.8000,13.5500,1.5000,0.7000,0.0000
update1,1000,1,"vanilla JS · rebuild",100,2000,1,1000,1000,0,0,6.2000,20.9000,19.8000,26.9000,77.0700,37.1000,,,
update1,1000,1,"vanilla JS · keyed diff",100,1,1,0,0,0,1,0.7000,3.7150,0.6000,1.2000,4.9000,8.8500,,,
update1,1000,1,"vanilla JS · targeted",100,1,1,0,0,0,1,0.0000,3.6050,0.6000,0.6000,4.6000,9.3000,,,
update1,1000,1,"react · key={row.id}",100,1,1,0,0,0,1,1.7000,6.5150,0.5500,2.3000,8.3150,14.0000,1.1000,0.6000,0.0000
update1,1000,1,"react · key={index}",100,1,1,0,0,0,1,1.8500,4.3050,0.6000,2.5000,5.6000,13.6000,1.2000,0.7000,0.0000
update10th,1000,1,"vanilla JS · rebuild",100,2000,100,1000,1000,0,0,6.2000,18.1300,19.1000,25.4000,62.1150,35.7500,,,
update10th,1000,1,"vanilla JS · keyed diff",100,100,100,0,0,0,100,0.8000,4.0000,1.5000,2.3000,6.1250,9.9500,,,
update10th,1000,1,"vanilla JS · targeted",100,100,100,0,0,0,100,0.2000,3.1050,1.5000,1.6000,5.3050,9.8500,,,
update10th,1000,1,"react · key={row.id}",100,100,100,0,0,0,100,1.9000,6.7000,1.5000,3.4000,11.5200,12.9500,1.2000,0.8000,0.0000
update10th,1000,1,"react · key={index}",100,100,100,0,0,0,100,1.9000,3.1250,1.5000,3.3000,5.2650,13.1000,1.1000,0.7000,0.0000
swap,1000,1,"vanilla JS · rebuild",100,2000,4,1000,1000,0,0,6.1500,15.3950,19.5500,26.0500,71.8600,36.9000,,,
swap,1000,1,"vanilla JS · keyed diff",100,1994,4,997,997,0,0,4.0000,11.8050,19.7000,23.8000,53.9900,34.8000,,,
swap,1000,1,"vanilla JS · targeted",100,4,4,2,2,0,0,0.1000,2.6000,0.7000,0.7000,3.6000,9.5000,,,
swap,1000,1,"react · key={row.id}",100,1994,4,997,997,0,0,8.4500,22.2300,18.7500,27.3000,69.2650,38.6500,1.3000,7.1000,0.0000
swap,1000,1,"react · key={index}",100,6,4,0,0,2,4,1.8000,5.3050,0.6000,2.4000,6.9250,13.7000,1.2000,0.7000,0.0000
insertHead,1000,1,"vanilla JS · rebuild",100,2001,1,1001,1000,0,0,6.1000,9.8150,18.8500,24.9000,32.4450,35.6000,,,
insertHead,1000,1,"vanilla JS · keyed diff",100,1,1,1,0,0,0,0.7000,3.8050,0.6000,1.3000,4.9000,8.6000,,,
insertHead,1000,1,"vanilla JS · targeted",100,1,1,1,0,0,0,0.1000,3.4300,0.6000,0.7000,4.3300,8.3000,,,
insertHead,1000,1,"react · key={row.id}",100,1,1,1,0,0,0,1.9000,6.8100,0.7000,2.6000,8.9250,13.8000,1.3000,0.6000,0.0000
insertHead,1000,1,"react · key={index}",100,3001,1,1,0,1000,2000,4.4000,14.8300,12.8000,17.2000,52.8100,26.0500,1.3000,3.1000,0.0000
removeOne,1000,1,"vanilla JS · rebuild",100,1999,1,999,1000,0,0,6.3000,16.5050,20.7000,27.0500,66.8250,37.6000,,,
removeOne,1000,1,"vanilla JS · keyed diff",100,1,1,0,1,0,0,0.7000,4.2150,0.6000,1.4000,5.5250,12.5500,,,
removeOne,1000,1,"vanilla JS · targeted",100,1,1,0,1,0,0,0.0000,0.1050,0.6000,0.6500,1.3450,9.0000,,,
removeOne,1000,1,"react · key={row.id}",100,1,1,0,1,0,0,2.1000,6.8050,0.9000,2.9500,8.9000,13.4000,1.4500,0.9000,0.0000
removeOne,1000,1,"react · key={index}",100,2995,1,0,1,998,1996,5.0500,16.0000,14.3500,21.2000,54.2350,30.2500,1.3000,3.4500,0.1000
replaceAll,1000,1,"vanilla JS · rebuild",100,2000,2000,1000,1000,0,0,6.1000,13.4300,24.0000,30.3500,68.2700,40.6000,,,
replaceAll,1000,1,"vanilla JS · keyed diff",100,2000,2000,1000,1000,0,0,8.7000,26.3050,23.2000,32.2000,74.6700,43.4000,,,
replaceAll,1000,1,"vanilla JS · targeted",100,3000,2000,0,0,1000,2000,2.9000,5.9250,16.9500,19.8000,31.4150,31.1500,,,
replaceAll,1000,1,"react · key={row.id}",100,2000,2000,1000,1000,0,0,15.6000,38.6250,22.9500,38.7000,91.7600,50.3000,7.3500,6.5000,1.8500
replaceAll,1000,1,"react · key={index}",100,3000,2000,0,0,1000,2000,4.6000,14.0150,17.1500,22.1000,60.0500,32.6000,1.2000,3.3000,0.0000
